reaction_id	min_flux	max_flux
Prevotella_melaninogenica_ATCC_25845_TP_26dap_M_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	-0.451845
Prevotella_melaninogenica_ATCC_25845_TP_2dmmq8_Prevotella_melaninogenica_ATCC_25845_e	-105.270749	-0.055941
Prevotella_melaninogenica_ATCC_25845_TP_2obut_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_4abz_Prevotella_melaninogenica_ATCC_25845_e	-0.186470	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_Tyr_ggn_Prevotella_melaninogenica_ATCC_25845_e	0.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_ac_Prevotella_melaninogenica_ATCC_25845_e	-194.509332	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_acald_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_ade_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_adn_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_adocbl_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_ala_L_Prevotella_melaninogenica_ATCC_25845_e	-10.096068	-9.086461
Prevotella_melaninogenica_ATCC_25845_TP_arg_L_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	-4.456849
Prevotella_melaninogenica_ATCC_25845_TP_asp_L_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	242.743665
Prevotella_melaninogenica_ATCC_25845_TP_ca2_Prevotella_melaninogenica_ATCC_25845_e	-0.062157	-0.055941
Prevotella_melaninogenica_ATCC_25845_TP_cbl1_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_cbl2_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_cd2_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_cgly_Prevotella_melaninogenica_ATCC_25845_e	-1.652806	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_chtbs_Prevotella_melaninogenica_ATCC_25845_e	-1.004101	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_cl_Prevotella_melaninogenica_ATCC_25845_e	-0.062157	-0.055941
Prevotella_melaninogenica_ATCC_25845_TP_co2_Prevotella_melaninogenica_ATCC_25845_e	-176.442769	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_cobalt2_Prevotella_melaninogenica_ATCC_25845_e	-0.062157	-0.055941
Prevotella_melaninogenica_ATCC_25845_TP_cro4_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_csn_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_cu2_Prevotella_melaninogenica_ATCC_25845_e	-0.062157	-0.055941
Prevotella_melaninogenica_ATCC_25845_TP_cytd_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	134.737536
Prevotella_melaninogenica_ATCC_25845_TP_dad_2_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_dcyt_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_dgsn_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_din_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_duri_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_fe2_Prevotella_melaninogenica_ATCC_25845_e	-0.124313	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_fe3_Prevotella_melaninogenica_ATCC_25845_e	-0.124313	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_for_Prevotella_melaninogenica_ATCC_25845_e	-105.937004	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_fru_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_gcald_Prevotella_melaninogenica_ATCC_25845_e	0.167823	0.186470
Prevotella_melaninogenica_ATCC_25845_TP_glc_D_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_gln_L_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	245.551996
Prevotella_melaninogenica_ATCC_25845_TP_gly_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_glyc_Prevotella_melaninogenica_ATCC_25845_e	0.577096	0.641218
Prevotella_melaninogenica_ATCC_25845_TP_glygn2_Prevotella_melaninogenica_ATCC_25845_e	-51.759444	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_glygn4_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	51.759444
Prevotella_melaninogenica_ATCC_25845_TP_glygn5_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_gsn_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_gthox_Prevotella_melaninogenica_ATCC_25845_e	-0.031078	-0.027970
Prevotella_melaninogenica_ATCC_25845_TP_gua_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_h_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_h2o_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_h2s_Prevotella_melaninogenica_ATCC_25845_e	-178.712265	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_hg2_Prevotella_melaninogenica_ATCC_25845_e	0.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_his_L_Prevotella_melaninogenica_ATCC_25845_e	-243.883884	-1.431973
Prevotella_melaninogenica_ATCC_25845_TP_hxan_Prevotella_melaninogenica_ATCC_25845_e	-250.000000	0.000000
Prevotella_melaninogenica_ATCC_25845_TP_ile_L_Prevotella_melaninogenica_ATCC_25845_e	-6.563609	-5.907248
Prevotella_melaninogenica_ATCC_25845_TP_ins_Prevotella_melaninogenica_ATCC_25845_e	-118.118942	250.000000
Prevotella_melaninogenica_ATCC_25845_TP_inulin_Prevotella_melaninogenica_ATCC_25845_e	-15.555622	0.000000
